Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,516
design__instance__area,4112.69
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.002350327093154192
power__switching__total,0.0005973736988380551
power__leakage__total,4.496500061179631E-9
power__total,0.0029477050993591547
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.005464573392904942
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.005464573392904942
timing__hold__ws__corner:nom_tt_025C_1v80,0.4717809609846524
timing__setup__ws__corner:nom_tt_025C_1v80,1.6467687679599396
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.471781
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.646769
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.008867962171147768
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.008867962171147768
timing__hold__ws__corner:nom_ss_100C_1v60,0.9611496315336211
timing__setup__ws__corner:nom_ss_100C_1v60,0.20143731697279033
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.961150
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.201437
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.004492850663119578
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.004492850663119578
timing__hold__ws__corner:nom_ff_n40C_1v95,0.2986422305091738
timing__setup__ws__corner:nom_ff_n40C_1v95,2.1717868118601578
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.298642
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,2.171787
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.008867962171147768
clock__skew__worst_setup,-0.010859147222127545
timing__hold__ws,0.29761174922414835
timing__setup__ws,0.1790581067432839
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.297612
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.179058
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 101.285 112.005
design__core__bbox,5.52 10.88 95.68 100.64
design__io,106
design__die__area,11344.4
design__core__area,8092.76
design__instance__count__stdcell,516
design__instance__area__stdcell,4112.69
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.508194
design__instance__utilization__stdcell,0.508194
design__instance__count__class:buffer,34
design__instance__count__class:inverter,83
design__instance__count__class:sequential_cell,75
design__instance__count__class:multi_input_combinational_cell,130
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,607
design__instance__count__class:tap_cell,105
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,104
design__io__hpwl,3485264
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,5323.9
design__violations,0
design__instance__count__class:timing_repair_buffer,73
design__instance__count__class:clock_buffer,12
design__instance__count__class:clock_inverter,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,457
route__net__special,2
route__drc_errors__iter:1,53
route__wirelength__iter:1,6620
route__drc_errors__iter:2,18
route__wirelength__iter:2,6587
route__drc_errors__iter:3,6
route__wirelength__iter:3,6569
route__drc_errors__iter:4,0
route__wirelength__iter:4,6579
route__drc_errors,0
route__wirelength,6579
route__vias,2315
route__vias__singlecut,2315
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,738
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.0046818938939841345
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.0046818938939841345
timing__hold__ws__corner:min_tt_025C_1v80,0.47038202442290883
timing__setup__ws__corner:min_tt_025C_1v80,1.6630466363627583
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.470382
